pack_id,image_url,nom_pack,type,description,prix_total,categorie
1,images\Événementssportifs.png,Événements sportifs et compétitions – Pack Standard,standard,"Inclus : Marquages sportifs durables et antidérapants, Systèmes de chronométrage électronique précis, Podiums légers, Signalétique directionnelle, Kits complets par discipline, Conforme aux normes fédérales.",320000,Événement sportif
2,images\Événementssportifs.png,Événements sportifs et compétitions – Pack Premium,premium,"Inclus : Marquages sportifs durables et antidérapants, Systèmes de chronométrage électronique précis, Podiums légers, Signalétique directionnelle, Kits complets par discipline, Conforme aux normes fédérales. Inclut également des options haut de gamme et décoratives.",2105000,Événement sportif
3,images\Cérémoniesofficielles.png,Cérémonies officielles – Pack Standard,standard,"Décoration complète pour cérémonies officielles, adaptée aux remises de prix, inaugurations, événements publics. Drapeaux, pupitres, tapis rouges et mobilier élégant. Mise en scène sobre et professionnelle. Respect des codes protocolaires. Valorisation de chaque moment solennel.",2570000,Cérémonie
4,images\Cérémoniesofficielles.png,Cérémonies officielles – Pack Premium,premium,"Décoration complète pour cérémonies officielles, adaptée aux remises de prix, inaugurations, événements publics. Drapeaux, pupitres, tapis rouges et mobilier élégant. Mise en scène sobre et professionnelle. Respect des codes protocolaires. Valorisation de chaque moment solennel.",2080000,Cérémonie
5,images\Banquetsetrepasdegroupe.png,Banquets et repas de groupe – Pack Standard,standard,"Service complet pour banquets et repas de groupe, idéal pour mariages, événements d'entreprise, fêtes familiales. Tables, chaises et décorations raffinées. Service soigné pour des repas mémorables. Adapté à des groupes de toutes tailles. Ambiance élégante et confortable.",1680000,Banquet
6,images\Banquetsetrepasdegroupe.png,Banquets et repas de groupe – Pack Premium,premium,"Service complet pour banquets et repas de groupe, idéal pour mariages, événements d'entreprise, fêtes familiales. Tables, chaises et décorations raffinées. Service soigné pour des repas mémorables. Adapté à des groupes de toutes tailles. Ambiance élégante et confortable.",2195000,Banquet
7,images\Soiréesàthème.png,Soirées à thème – Pack Premium,premium,"Organisation de soirées à thème uniques et personnalisées. Idéales pour mariages, anniversaires, événements d'entreprise. Décoration sur mesure et animations créatives. Ambiance mémorable et originale.",1815000,Soirée à thème
8,images\Soiréesàthème.png,Soirées à thème – Pack Standard,standard,"Organisation de soirées à thème uniques et personnalisées. Idéales pour mariages, anniversaires, événements d'entreprise. Décoration sur mesure et animations créatives. Ambiance mémorable et originale.",1260000,Soirée à thème
9,images\Festivalsetévénementsculturels.png,Festivals et événements culturels – Pack Standard,standard,"Organisation de festivals et événements culturels sur mesure. Idéals pour festivals de musique, expositions et célébrations culturelles. Décoration thématique et installations scéniques. Gestion des espaces pour une expérience fluide et professionnelle. Crée une atmosphère unique et mémorable. Solutions personnalisables pour chaque événement.",550000,Culturel
10,images\Festivalsetévénementsculturels.png,Festivals et événements culturels – Pack Premium,premium,"Organisation de festivals et événements culturels sur mesure. Idéals pour festivals de musique, expositions et célébrations culturelles. Décoration thématique et installations scéniques. Gestion des espaces pour une expérience fluide et professionnelle. Crée une atmosphère unique et mémorable. Solutions personnalisables pour chaque événement.",1719000,Culturel
